YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,TS,T2M_RANGE
2021,2,21,7.34,7.79,0.68,405.45,143.48,149.65,18.98,0.63,3.43,3.92,28.11,29.91,-266.46
2021,2,22,7.47,7.79,0.7,398.88,146.02,149.8,19.2,0.63,3.48,3.72,27.83,29.61,-265.97
2021,2,23,6.41,7.66,0.59,413.87,127.34,148.1,17.16,0.59,3.16,3.31,28.03,29.8,-265.27
2021,2,24,7.22,7.62,0.67,409.09,142.38,147.7,18.7,0.62,3.48,3.37,28.07,29.83,-266.32
2021,2,25,6.45,7.58,0.6,412.59,128.23,147.16,17.19,0.58,3.14,2.95,27.33,28.57,-268.34
2021,2,26,4.71,7.54,0.44,425.34,96.8,146.78,13.61,0.49,2.7,3.02,27.19,28.77,-266.95
2021,2,27,3.09,7.54,0.29,427.98,66.83,147.8,9.95,0.36,1.9,3.25,27.17,28.72,-267.17
2021,2,28,6.15,7.65,0.57,418.16,124.33,150.01,17.05,0.58,3.15,3.77,27.04,28.51,-267.32
2021,3,1,4.88,7.62,0.45,424.34,101.16,150.06,14.42,0.51,2.7,4.27,26.96,27.94,-267.3
2021,3,2,6.93,7.79,0.65,412.41,137.94,151.55,18.6,0.63,3.43,3.84,27.41,28.56,-266.45
2021,3,3,7.03,7.41,0.66,408.46,138.08,143.24,17.88,0.58,3.16,4.04,27.48,28.87,-266.91
2021,3,4,6.08,7.54,0.57,421.38,122.9,147.77,16.82,0.57,3.04,4.45,27.48,28.9,-267.35
2021,3,5,6.73,7.45,0.63,410.66,133.51,145.15,17.68,0.58,3.16,4.07,27.3,28.65,-267.28
2021,3,6,6.64,7.45,0.62,408.01,130.62,143.65,17.25,0.56,3.02,3.38,27.79,29.24,-266.0
2021,3,7,7.14,7.44,0.67,403.8,138.93,142.63,17.98,0.56,3.05,3.01,28.07,29.65,-266.13
2021,3,8,7.03,7.61,0.66,404.86,137.45,146.1,18.11,0.58,3.13,2.98,27.98,29.51,-265.84
2021,3,9,6.76,7.59,0.64,412.79,133.55,146.62,17.79,0.56,2.99,3.25,27.94,29.5,-265.71
2021,3,10,7.19,7.56,0.68,406.71,140.95,145.67,18.54,0.56,2.99,3.36,27.95,29.56,-265.49
2021,3,11,6.72,7.34,0.64,415.56,131.98,141.28,17.38,0.53,2.81,3.82,28.15,29.68,-266.15
2021,3,12,7.35,7.57,0.7,407.17,143.8,145.96,18.8,0.59,3.15,3.94,27.98,29.45,-266.27
2021,3,13,6.98,7.71,0.66,410.82,137.68,148.7,18.46,0.55,2.9,3.87,27.68,29.3,-266.35
2021,3,14,6.61,7.46,0.63,400.46,128.59,142.24,16.98,0.52,2.67,3.8,28.18,29.67,-265.19
2021,3,15,6.7,7.49,0.64,405.76,131.33,143.95,17.52,0.55,2.95,3.66,27.32,29.04,-266.59
2021,3,16,6.96,7.71,0.66,398.62,135.95,147.62,18.15,0.59,3.22,3.73,27.3,29.1,-265.6
2021,3,17,7.37,7.66,0.7,400.14,144.38,147.63,19.1,0.62,3.37,3.18,27.67,29.41,-265.41
2021,3,18,4.23,7.37,0.41,424.13,88.33,144.23,12.71,0.42,2.18,3.05,27.48,29.02,-266.34
2021,3,19,6.98,7.38,0.67,408.1,137.66,143.11,18.14,0.57,3.08,3.74,27.85,29.3,-266.49
2021,3,20,7.0,7.56,0.67,411.6,137.76,145.93,18.34,0.57,3.05,4.06,27.71,29.19,-266.37
2021,3,21,6.59,7.46,0.64,412.23,131.64,145.79,17.72,0.56,3.04,3.45,26.96,28.61,-266.62
2021,3,22,7.1,7.52,0.69,403.65,140.5,146.16,18.66,0.59,3.21,2.74,27.46,29.26,-266.06
2021,3,23,6.81,7.42,0.66,414.2,135.91,145.34,18.18,0.57,3.04,3.06,27.63,29.38,-266.24
2021,3,24,5.66,7.33,0.55,426.12,115.05,144.51,15.89,0.48,2.46,3.95,27.26,28.73,-267.16
2021,3,25,6.71,7.37,0.66,409.92,132.81,143.25,17.78,0.53,2.79,4.05,27.53,28.85,-266.66
2021,3,26,6.27,7.3,0.62,413.16,125.41,142.88,17.0,0.52,2.71,4.13,27.05,28.19,-267.69
2021,3,27,5.22,7.29,0.52,422.16,106.73,143.84,15.02,0.48,2.52,3.16,27.13,28.36,-267.52
2021,3,28,4.86,7.25,0.48,423.34,100.41,143.38,14.32,0.47,2.44,2.41,27.59,28.96,-266.13
2021,3,29,6.45,7.25,0.63,415.83,129.61,143.02,17.44,0.55,2.91,2.61,27.8,29.1,-266.16
2021,3,30,6.07,7.1,0.6,415.09,120.8,138.45,16.23,0.52,2.76,2.84,27.83,29.04,-266.47
2021,3,31,6.49,6.89,0.64,411.24,126.04,131.88,16.23,0.5,2.66,2.84,28.05,29.29,-266.0
